Incident Id;Primary Charge;Street;City;State;Zipcode;Date of Arrest;Time of Arrest;Age;Race;Gender;Ethnicity;Type of Arrest;Drugs or Alcohol Present;Weapon Present;Disposition;latitude_longitude
27401;CCW;150 E ROSEMARY ST;CHAPEL HILL;NC;27514;2011-09-09;9:22 PM;39;W;M;;SUMMONED/CITED;Y;HANDGUN;CLEARED BY ARREST;35.914838303,-79.054215869
27399;WORTHLESS CHECK;106 N GRAHAM ST;CHAPEL HILL;NC;27516;2011-09-09;5:45 PM;38;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;ARREST/NO INVESTIGATION;35.910477,-79.0642665
27396;DRIVING WHILE IMPAIRED;408 W ROSEMARY ST;CHAPEL HILL;NC;27516;2011-09-09;2:46 AM;24;W;F;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.911447071,-79.063187752
27394;LARCENY OF PURSE;201 S ESTES DR;CHAPEL HILL;NC;27514;2011-09-08;7:07 PM;39;W;F;N;ON VIEW;N;UNARMED;CLEARED BY ARREST;35.929737,-79.026858
27393;POSSESSION MARIJUANA;1709 HIGH SCHOOL RD;CHAPEL HILL;NC;27516;2011-09-08;11:14 AM;;;;;SUMMONED/CITED;N;UNARMED;CLEARED BY ARREST;35.947206362,-79.080563127
27392;WEAP-SCHOOL PROPERTY;1709 HIGH SCHOOL RD;CHAPEL HILL;NC;27516;2011-09-08;11:03 AM;;;;;SUMMONED/CITED;N;UNARMED;CLEARED BY ARREST;35.947206362,-79.080563127
27395;POSS OF STOLEN GOODS;201 S ESTES DR;CHAPEL HILL;NC;27514;2011-09-08;7:13 PM;44;B;M;;ON VIEW;;UNARMED;CLEARED BY ARREST;35.929737,-79.026858
27389;2ND DEGREE TRESPASS;150 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-09-07;3:20 AM;59;W;M;N;SUMMONED/CITED;N;UNARMED;CLEARED BY ARREST;35.913258,-79.053462
27390;POSSESSION MARIJUANA;100 JACKIE ROBINSON ST;CHAPEL HILL;NC;27517;2011-09-07;11:24 AM;22;B;M;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.9402286,-79.014571447
27428;OPEN CONTAINER;150 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-09-07;7:35 PM;32;W;M;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.913258,-79.053462
27429;OPEN CONTAINER;150 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-09-07;7:35 PM;47;W;M;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.913258,-79.053462
27391;DAMAGE-PERSONAL PROP;828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27516;2011-09-07;3:46 PM;24;B;F;N;SUMMONED/CITED;N;UNARMED;CLEARED BY ARREST;35.926893,-79.0529265
27387;FAIL TO APPEAR/COMPL;150 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-09-06;8:30 PM;47;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED;ARREST/NO INVESTIGATION;35.913258,-79.053462
27388;OPEN CONTAINER;150 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-09-06;8:30 PM;46;B;M;N;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.913258,-79.053462
27398;DRUGS-POSS SCHED VI;602 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27514;2011-09-06;1:59 AM;25;W;F;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.918838,-79.0531155
27378;DRUGS-POSS SCHED VI;602 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27514;2011-09-06;4:44 AM;;;;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.918838,-79.0531155
27382;POSSESSION MARIJUANA;221 CENTRAL PARK DR;CHAPEL HILL;NC;27514;2011-09-06;12:37 AM;22;B;M;N;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.890102297,-78.993282279
27381;POSSESSION MARIJUANA;221 CENTRAL PARK DR;CHAPEL HILL;NC;27514;2011-09-06;12:37 AM;19;W;F;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.890102297,-78.993282279
27383;MISUSE OF 911  M;1340 EPHESUS CHURCH RD;CHAPEL HILL;NC;27517;2011-09-06;3:49 AM;35;W;M;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.933832,-79.01865
27385;FAIL TO APPEAR/COMPL;FORDHAM BLVD;CHAPEL HILL;NC;27516;2011-09-06;10:42 AM;22;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;ARREST/NO INVESTIGATION;35.893533,-79.056888642
27379;FAIL TO APPEAR/COMPL;EAST FRANKLIN STREET 100 BLOCK;CHAPEL HILL;NC;27514;2011-09-06;3:04 AM;67;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;CLEARED BY ARREST;35.912862,-79.0553025
27386;FAIL TO APPEAR/COMPL;150 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-09-06;4:26 PM;46;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED;ARREST/NO INVESTIGATION;35.913258,-79.053462
27384;FORGERY;310 PITTSBORO ST;CHAPEL HILL;NC;27516;2011-09-06;4:07 PM;21;B;M;;ON VIEW;N;UNARMED;CLEARED BY ARREST;35.907012387,-79.054784913
